,Unnamed: 0,id,poster_path,adult,overview,release_date,genre_ids,original_title,original_language,title,backdrop_path,popularity,vote_count,video,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,count_labels,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
30,43,423108,/ghMQALCyytc6W0wlOlMIKiMSRKV.jpg,False,"Los investigadores paranormales Ed y Lorraine Warren se encuentran con lo que se convertiría en uno de los casos más sensacionales de sus archivos. La lucha por el alma de un niño los lleva más allá de todo lo que habían visto antes, para marcar la primera vez en la historia de los Estados Unidos que un sospechoso de asesinato reclamaría posesión demoníaca como defensa.",2021-06-04,27-9648-53,The Conjuring: The Devil Made Me Do It,en,Expediente Warren: Obligado por el demonio,/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,127.444,5043,False,7.5,movie,39000000,111,206431050,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2
31,44,746524,/gCUFtTvjK4gbmjVxhx8bhyOhAeW.jpg,False,"Jess, una madre y enfermera recién separada, se muda a su antigua granja familiar con Tyler, su hija adolescente, y Owen, su hijo de ocho años. Una noche, el perro de la familia detecta algo en el bosque y sale corriendo a buscarlo. Regresa un par de días después y ataca a Owen, mordiéndolo salvajemente antes de que Jess pueda intervenir. Owen es llevado de urgencia al hospital. Su condición empeora y nadie puede entender por qué... hasta que Jess descubre una cura inquietante...",2023-01-27,53-27,Blood,en,Blood,/v2GqQcm4Yg54ADrdbEi4Y1FZZhz.jpg,109.839,48,False,5.8,movie,0,108,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '27']",1,307,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,45,649609,/uGw4zPyiBAx9B1j9pKYWSvFiLug.jpg,False,"En este moderno y monstruoso relato sobre el fiel ayudante de Drácula, Renfield se ve obligado a procurarle víctimas a su amo y hacer todo aquello que este le ordene, por inmoral que sea. Pero ahora, tras siglos de servidumbre, Renfield está listo para descubrir si hay vida lejos de la alargada sombra del Príncipe de las Tinieblas. ¿El problema? Que no sabe cómo romper esa relación de dependencia.",2023-04-14,35-27-14,Renfield,en,Renfield,/kfKW0HBObLAd4Lj27XX5QoLWmGe.jpg,140.514,43,False,6.8,movie,86200000,93,10000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['35', '27', '14']",0,11,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
33,46,520763,/6uRb5axnwAd17h4ak4ENHcJqHVr.jpg,False,"Tras los fatales acontecimientos sucedidos en la primera parte, la familia Abbot debe enfrentarse a los peligros del mundo exterior mientras luchan en silencio por sobrevivir. Forzados a aventurarse en lo desconocido, pronto se dan cuenta de que las criaturas que cazan orientadas por el sonido no son la única amenaza que acecha más allá del camino de arena. Secuela de la exitosa producción ""Un lugar tranquilo"" (A Quiet Place, 2018).",2021-05-28,878-53-27,A Quiet Place Part II,en,Un lugar tranquilo 2,/rBWF1zHdU2abEfmhAoLMr3PUJC5.jpg,114.644,5287,False,7.5,movie,61000000,97,297400000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '53', '27']",1,16,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
34,48,801071,/xm6N21UjaUSK9LF7kfDSaGJU7fx.jpg,False,"Cuando una mujer moribunda abre un Jack-in-the-box antiguo, entra en un trato con el demonio interno que curaría su enfermedad a cambio de ayudarla a reclamar seis víctimas inocentes.",2022-01-18,27,The Jack in the Box: Awakening,en,The Jack in the Box: El despertar,/xHRabofjmMGoIV3mb6xgy4nwOcS.jpg,119.157,270,False,6.4,movie,0,89,195189,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,49,760104,/4pCSBPHUPia93rppHF3UX4cLQ9M.jpg,False,"En 1979, un grupo de jóvenes cineastas se propusieron hacer una película para adultos en la zona rural de Texas, pero cuando sus anfitriones solitarios y ancianos los atrapan en el acto, el elenco pronto se encuentra en una lucha desesperada por sus vidas.",2022-03-18,27-9648-53,X,en,X,/21ldFAokKVjwzi1SHXoPb5gc7md.jpg,103.808,1871,False,6.8,movie,10000000,106,14779858,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
36,50,138843,/sKuHxkCogdk6YWzTyXYPoo9qd9n.jpg,False,"Basada en una historia real documentada por los reputados demonólogos Ed y Lorraine Warren. Narra los encuentros sobrenaturales que vivió la familia Perron en su casa de Rhode Island a principios de los 70. El matrimonio Warren, investigadores de renombre en el mundo de los fenómenos paranormales, acudieron a la llamada de esta familia aterrorizada por la presencia en su granja de un ser maligno.",2013-07-19,27-53,The Conjuring,en,Expediente Warren: The Conjuring,/ecKQlAEG95k62SMGhvX83oEqANK.jpg,114.268,10304,False,7.5,movie,13000000,112,320406242,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10
37,51,830788,/oHVR6249rkhCJkdBc7vk166KLMF.jpg,False,Una joven es cortejada y deslumbrada solo para descubrir que una conspiración gótica está en marcha.,2022-08-26,27-53,The Invitation,en,La invitación,/yo0qfH2dQGGMxkfivdkz5zxVatD.jpg,111.038,513,False,6.4,movie,10000000,105,33628000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
38,52,593643,/eNcfCScUUyHQyjP84P25a8ColWp.jpg,False,"Una joven pareja viaja a uno de los destinos más exclusivos del mundo para cenar en un restaurante que ofrece una experiencia culinaria única. Sin embargo, el chef ha preparado un ingrediente secreto que tendrá un resultado sorprendente en los dos enamorados.",2022-11-18,27-53-35,The Menu,en,El menú,/mSyQoValhBsJdq3JNGXJww2Q5yL.jpg,106.354,2954,False,7.2,movie,35000000,107,79628200,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['27', '53', '35']",1,26,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
39,53,338947,/jTz1fwuwozU6zyBdERoaxXLjjbN.jpg,False,"Una joven que lucha contra la adicción se apodera de una antigua caja de rompecabezas, sin saber que su propósito es convocar a los Cenobitas, un grupo de sádicos seres sobrenaturales de otra dimensión.",2022-09-28,27-9648,Hellraiser,en,Hellraiser,/3r3tZgKTw1554hcFoUfydLHE38w.jpg,112.792,488,False,6.4,movie,14000000,121,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648']",0,162,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
