,id,title,release_date,key,characters,genre
290,471924,Zombie Psycho STHLM,,Psycho,The Überzombie,"[28, 27]"
291,476094,Reverse Psychology,2016-07-12,Psycho,[],"[35, 18]"
292,980649,Psycho Shampoo,1979-01-01,Psycho,Woman in Shower,[35]
293,148553,Psychokinesie,,Psycho,[],[]
294,962162,Psychographic,2022-06-06,Psycho,[],[16]
295,994446,Psychotic Party,1970-06-09,Psycho,,[99]
296,996506,Documenting a Modern Psychopath,2021-04-02,Psycho,[],[]
297,996512,Documenting a Modern Psychopath (Part 2),2021-07-29,Psycho,[],[]
298,738709,Psychopath Reprobates,2018-08-20,Psycho,[],[]
299,494136,Psycho/s,,Psycho,[],[]
300,699419,"Dir En Grey - Tour 14 Psychonnect - Mode Of ""Gauze""?",,Psycho,[],[]
301,692067,Three Approaches to Psychotherapy,1965-09-23,Psycho,[],[]
302,690136,Psycho Messenger,2018-12-27,Psycho,[],[27]
303,695584,Psycho Messiahs,2002-08-20,Psycho,himself,"[99, 10402]"
304,705273,Psychotel,2020-01-02,Psycho,,[]
305,970473,Prototype I: Quantum Leaps in Trans Semiotics through Psycho-Analytical Snail Serum,,Psycho,[],[]
306,462676,Music For Psychological Liberation,1994-01-01,Psycho,Himself,[99]
307,128747,A Very British Psycho,1997-01-01,Psycho,Himself,[99]
308,444950,Psycho Charlie Returns: Part 2,1997-01-01,Psycho,Psycho Charlie,[27]
309,447762,Psychomotor Agitation,2015-08-01,Psycho,[],[]
310,476094,Reverse Psychology,2016-07-12,Psycho,[],"[35, 18]"
311,478810,Psycho Space Demons,2003-01-01,Psycho,[],"[878, 35, 27]"
312,726676,Psychotria,2019-09-19,Psycho,López,"[18, 12]"
313,480295,Psycho Street,2011-07-22,Psycho,Leyla Barker,[27]
314,724852,Psychopath Night,2013-12-14,Psycho,Narrator,[99]
315,483149,American Psychosis,2017-02-23,Psycho,,[99]
316,987147,Psycho Sister!,2015-09-29,Psycho,The Brother,[27]
317,987162,The Psycho Sister Returns!,2016-11-28,Psycho,A Passerby,[]
318,980649,Psycho Shampoo,1979-01-01,Psycho,Woman in Shower,[35]
