,0
2174,91
2175,96
2176,94
2177,97
2178,169
2179,82
2180,103
2181,97
2182,96
2183,79
2184,97
2185,103
2186,103
2187,83
2188,108
2189,95
2190,0
2191,102
2192,96
2193,85
2194,87
2195,79
2196,102
2197,86
2198,98
2199,88
2200,106
2201,72
2202,95
2203,82
2204,86
2205,93
2206,92
2207,93
2208,87
2209,105
2210,92
2211,92
2212,86
2213,88
2214,75
2215,85
2216,95
2217,84
2218,94
2219,72
2220,72
2221,94
2222,100
2223,94
2224,90
2225,82
2226,84
2227,110
2228,96
2229,85
2230,86
2231,97
2232,83
2233,81
2234,75
2235,82
2236,104
2237,93
2238,89
2239,92
2240,94
2241,92
2242,89
2243,86
2244,88
2245,105
2246,81
2247,87
2248,87
2249,97
2250,92
2251,94
2252,87
2253,83
2254,81
2255,87
2256,82
2257,96
2258,94
2259,97
2260,110
2261,94
2262,90
2263,86
2264,89
2265,92
2266,88
2267,86
2268,101
2269,111
2270,107
2271,107
2272,91
2273,104
2274,83
2275,93
2276,88
2277,90
2278,114
2279,77
2280,84
2281,91
2282,81
2283,47
2284,98
2285,100
2286,80
2287,94
2288,87
2289,77
2290,86
2291,80
2292,81
2293,97
2294,91
2295,90
2296,84
2297,88
2298,79
2299,92
2300,79
2301,90
2302,90
2303,91
2304,93
2305,89
2306,97
2307,102
2308,110
2309,90
2310,89
2311,98
2312,83
2313,86
2314,87
2315,104
2316,96
2317,89
2318,80
2319,92
2320,103
2321,91
2322,61
2323,71
2324,91
2325,86
2326,103
2327,81
2328,91
2329,97
2330,99
2331,98
2332,100
2333,137
2334,90
2335,93
2336,96
2337,93
2338,89
2339,91
2340,79
2341,84
2342,76
2343,93
2344,80
2345,37
2346,90
2347,93
2348,112
2349,96
2350,101
2351,114
2352,104
2353,90
2354,113
2355,85
2356,96
2357,92
2358,83
2359,87
2360,95
2361,94
2362,88
2363,92
2364,92
2365,85
2366,88
2367,103
2368,119
2369,89
2370,98
2371,107
2372,105
2373,80
2374,107
2375,82
2376,103
2377,98
2378,102
2379,97
2380,101
2381,98
2382,78
2383,88
2384,105
2385,69
2386,98
2387,151
2388,75
2389,92
2390,102
2391,90
2392,80
2393,86
2394,67
2395,88
2396,90
2397,92
2398,94
2399,5
2400,98
2401,93
2402,97
2403,91
2404,109
2405,106
2406,84
2407,94
2408,97
2409,39
2410,116
2411,277
2412,83
2413,85
2414,93
2415,84
2416,96
2417,91
2418,89
2419,91
2420,120
2421,91
2422,92
2423,88
2424,97
2425,91
2426,94
2427,86
2428,90
2429,77
2430,88
2431,89
2432,78
2433,93
2434,93
2435,83
2436,90
2437,91
2438,88
2439,102
2440,67
2441,95
2442,81
2443,91
2444,78
2445,93
2446,90
2447,97
2448,93
2449,85
2450,79
2451,54
2452,114
2453,92
2454,91
2455,96
2456,95
2457,99
2458,92
2459,100
2460,120
2461,91
2462,84
2463,102
2464,88
2465,131
2466,74
2467,66
2468,85
2469,104
2470,84
2471,107
2472,89
2473,89
2474,80
2475,81
2476,72
2477,78
2478,86
2479,97
2480,105
2481,102
2482,90
2483,91
2484,82
2485,98
2486,86
2487,105
2488,83
2489,80
2490,85
2491,88
2492,75
2493,87
2494,73
2495,88
2496,81
2497,92
2498,89
2499,86
2500,90
2501,79
2502,104
2503,98
2504,87
2505,114
2506,59
2507,105
2508,90
2509,92
2510,79
2511,89
2512,87
2513,108
2514,86
2515,86
2516,92
2517,89
2518,110
2519,88
2520,101
2521,89
2522,101
2523,97
2524,90
2525,100
2526,97
2527,85
2528,92
2529,80
2530,88
2531,62
2532,95
2533,89
2534,89
2535,89
2536,109
2537,88
2538,90
2539,89
2540,16
2541,87
2542,101
2543,85
2544,79
2545,91
2546,112
2547,81
2548,97
2549,67
2550,98
2551,102
2552,92
2553,84
2554,85
2555,93
2556,82
2557,84
2558,117
2559,86
2560,85
2561,108
2562,85
2563,93
2564,76
2565,95
2566,76
2567,81
2568,90
2569,96
2570,96
2571,106
2572,91
2573,90
2574,85
2575,84
2576,96
2577,93
2578,103
2579,94
2580,83
2581,99
2582,86
2583,103
2584,80
2585,113
2586,59
2587,91
2588,84
2589,95
2590,86
2591,92
2592,81
2593,100
2594,83
2595,92
2596,90
2597,115
2598,86
2599,84
2600,80
2601,82
2602,91
2603,88
2604,96
2605,88
2606,88
2607,95
2608,89
2609,82
2610,87
2611,92
2612,107
2613,91
2614,99
2615,90
2616,88
2617,106
2618,114
2619,99
2620,85
2621,98
2622,90
2623,93
2624,87
2625,88
2626,88
2627,85
2628,97
2629,90
2630,107
2631,80
2632,86
2633,77
2634,104
2635,81
2636,90
2637,88
2638,88
2639,86
2640,99
2641,119
2642,91
2643,92
2644,81
2645,90
2646,2
2647,93
2648,89
2649,82
2650,88
2651,93
2652,93
2653,93
2654,83
2655,81
2656,89
2657,87
2658,0
2659,90
2660,90
2661,79
2662,106
2663,90
2664,90
2665,95
2666,92
2667,87
2668,103
2669,90
2670,93
2671,80
2672,114
2673,95
2674,94
2675,101
2676,29
2677,91
2678,89
2679,70
2680,81
2681,81
2682,96
2683,89
2684,90
2685,92
2686,111
2687,60
2688,87
2689,83
2690,86
2691,94
2692,80
2693,92
2694,97
2695,88
2696,97
2697,80
2698,102
2699,95
2700,84
2701,90
2702,90
2703,87
2704,80
2705,89
2706,95
2707,83
2708,85
2709,86
2710,89
2711,95
2712,86
2713,79
2714,91
2715,91
2716,80
2717,91
2718,93
2719,96
2720,113
2721,85
2722,88
2723,26
2724,80
2725,84
2726,91
2727,100
2728,90
2729,85
2730,101
2731,78
2732,91
2733,93
2734,96
2735,90
2736,102
2737,84
2738,93
2739,106
2740,90
2741,82
2742,121
2743,90
2744,97
2745,92
2746,98
2747,95
2748,91
2749,84
2750,97
2751,94
2752,89
2753,80
2754,85
2755,115
2756,89
2757,101
2758,83
2759,90
2760,95
2761,88
2762,88
2763,86
2764,104
2765,98
2766,88
2767,96
2768,104
2769,97
2770,97
2771,11
2772,100
2773,85
2774,85
2775,89
2776,89
2777,92
2778,81
2779,83
2780,74
2781,101
2782,95
2783,95
2784,96
2785,77
2786,114
2787,85
2788,90
2789,95
2790,84
2791,95
2792,100
2793,85
2794,86
2795,88
2796,105
2797,95
2798,88
2799,86
2800,77
2801,90
2802,93
2803,103
2804,99
2805,88
2806,80
2807,95
2808,108
2809,76
2810,58
2811,107
2812,88
2813,86
2814,91
2815,78
2816,96
2817,99
2818,90
2819,90
2820,67
2821,112
2822,89
2823,88
2824,94
2825,107
2826,104
2827,73
2828,94
2829,87
2830,87
2831,80
2832,74
2833,80
2834,92
2835,90
2836,90
2837,93
2838,102
2839,105
2840,112
2841,88
2842,90
2843,78
2844,85
2845,73
2846,86
2847,89
2848,86
2849,87
2850,84
2851,79
2852,85
2853,84
2854,85
2855,98
2856,80
2857,95
2858,99
2859,90
2860,97
2861,82
2862,85
2863,98
2864,96
2865,93
2866,95
2867,3
2868,92
2869,95
2870,84
2871,91
2872,86
2873,104
2874,86
2875,27
2876,95
2877,89
2878,97
2879,100
2880,93
2881,81
2882,78
2883,96
2884,81
2885,95
2886,100
2887,74
2888,93
2889,81
2890,98
2891,79
2892,91
2893,95
2894,104
2895,77
2896,108
2897,93
2898,96
2899,100
2900,82
2901,89
2902,95
2903,88
2904,82
2905,91
2906,86
2907,95
2908,90
2909,84
2910,96
2911,92
2912,91
2913,94
2914,103
2915,98
2916,91
2917,92
2918,82
2919,88
2920,82
2921,86
2922,89
2923,81
2924,72
2925,87
2926,24
2927,87
2928,98
2929,81
2930,96
2931,83
2932,91
2933,95
2934,104
2935,90
2936,108
2937,92
2938,89
2939,89
2940,15
2941,96
2942,90
2943,84
2944,71
2945,83
2946,86
2947,101
2948,106
2949,104
2950,79
2951,63
2952,81
2953,85
2954,98
2955,91
2956,96
2957,90
2958,72
2959,87
2960,97
2961,90
2962,104
2963,89
2964,87
2965,88
2966,81
2967,85
2968,71
2969,95
2970,85
2971,86
2972,100
2973,10
2974,94
2975,103
2976,90
2977,81
2978,90
2979,102
2980,74
2981,90
2982,87
2983,80
2984,84
2985,95
2986,103
2987,6
2988,90
2989,95
2990,90
2991,97
2992,82
2993,85
2994,91
2995,80
2996,90
