,Unnamed: 0,id,adult,release_date,genre_ids,original_title,original_language,title,popularity,vote_count,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
1470,1470,13220,False,2008-10-31,27-53,Splinter,en,Splinter,11.535,600,6.1,movie,0,82,124191,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15
1471,1471,611605,False,2019-09-28,53-18-27,1BR,en,El vecindario,13.293,353,6.1,movie,0,90,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '18', '27']",1,33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4
1472,1472,15714,False,2006-06-08,9648-53-80-27,Like Minds,en,Mente criminal,11.981,90,6.4,movie,8000000,110,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['9648', '53', '80', '27']",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,17
1473,1473,5072,False,2006-05-19,27-35-53,Severance,en,Desmembrados,10.779,482,6.3,movie,0,96,5515163,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '35', '53']",1,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,17
1474,1474,27812,False,2005-10-30,16-27,カクレンボ,ja,Kakurenbo,9.697,39,6.0,movie,0,25,0,"{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}","['16', '27']",0,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18
1475,1475,13006,False,1992-05-01,28-80-27,Split Second,en,Segundo sangriento,9.276,248,5.9,movie,7000000,90,5430822,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '80', '27']",0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,31
1476,1476,11510,False,1990-09-14,35-27,Repossessed,en,Reposeída,11.776,238,5.1,movie,0,80,1382462,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['35', '27']",0,435,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33
1477,1477,33645,False,2004-02-01,27-878-12-28-53,Megalodon,en,Megalodon,8.587,52,4.6,movie,0,90,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '878', '12', '28', '53']",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,19
1478,1478,63749,False,2011-06-25,27-53-28-12-35,Swamp Shark,en,El tiburón del pantano,7.848,69,4.3,movie,0,85,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '28', '12', '35']",1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,12
1479,1479,13937,False,1992-08-07,27-18-53-80,Raising Cain,en,En nombre de Caín,9.022,287,6.0,movie,12000000,92,37170057,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '18', '53', '80']",1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,31
